ejercicio,resource_type,poverty_level,grade_level,total_donations,funding_status,date_posted,modificacion,ejercido
2014,Televisi?n,Informe 2014,362,700,Campaña,11/11/2002,11.2,350
2014,Radio,Publicidad Turismo,361,214,Campaña,11/11/2002,2.996,143.38
2014,Cine,Publicidad Turismo,362,3462,Campaña,11/27/2002,211.182,2804.22
2014,Radio,Informe 2014,362,743,Campaña,11/11/2002,23.776,594.4
2014,Cine,Publicidad Turismo,362,1241,Campaña,9/17/2002,101.762,893.52
2014,Cine,Aviso Licitaciones,362,1760,Campaña,9/30/2002,44,1408
2014,Medios impresos,Publicidad Turismo,362,512,Campaña,11/11/2002,6.656,363.52
2014,Medios impresos,Publicidad Turismo,366,1510,Campaña,9/24/2002,149.49,890.9
2014,Cine,Informe 2015,362,780,Campaña,11/11/2002,35.1,608.4
2014,Medios impresos,Publicidad Turismo,362,1512,Campaña,11/11/2002,149.688,952.56
2014,Cine,Informe 2014,362,699,Campaña,11/11/2002,25.863,475.32
2014,Radio,Publicidad Turismo,33605,1277.54,Campaña,11/27/2002,122.64384,677.0962
2014,Cine,Publicidad Turismo,362,380,Campaña,11/11/2002,10.64,258.4
2014,Cine,Publicidad Turismo,362,830,Campaña,11/11/2002,3.32,597.6
2014,Cine,Informe 2014,362,300,Campaña,11/11/2002,20.1,183
2014,Radio,Publicidad Turismo,361,420,Campaña,11/11/2002,18.06,315
2014,Internet,Publicidad Turismo,366,850,Aviso,9/24/2002,22.1,620.5
2014,Radio,Publicidad Turismo,33605,429,Campaña,11/11/2002,13.728,377.52
2014,Medios impresos,Publicidad Turismo,362,3499,Campaña,11/11/2002,20.994,1889.46
2014,Medios impresos,Publicidad Turismo,362,0,Campaña,12/11/2002,0,0
2014,Internet,Informe 2014,362,1325,Campaña,11/11/2002,27.825,1325
2014,Medios impresos,Publicidad Turismo,362,0,Campaña,11/11/2002,0,0
2014,Radio,Publicidad Turismo,362,200,Campaña,11/11/2002,19,130
2014,Internet,Publicidad Turismo,362,389,Campaña,9/30/2002,14.393,307.31
2014,"An?lisis, estudios y m?tricas",Publicidad Turismo,362,577,Campaña,9/17/2002,20.772,473.14
2014,Cine,Informe 2014,362,399,Campaña,10/3/2002,4.389,379.05
2014,Cine,Publicidad Turismo,362,935,Campaña,11/11/2002,7.48,757.35
2014,Cine,Publicidad Turismo,362,4700,Campaña,11/11/2002,70.5,3666
2014,Radio,Publicidad Turismo,362,209,Campaña,11/11/2002,18.392,190.19
2014,Internet,Publicidad Turismo,362,1000,Campaña,11/11/2002,20,620
2014,Cine,Publicidad Turismo,362,233,Campaña,10/23/2002,20.504,118.83
2014,Cine,Publicidad Turismo,362,5069,Campaña,11/11/2002,20.276,4612.79
2014,"An?lisis, estudios y m?tricas",Publicidad Turismo,366,0,Campaña,11/27/2002,0,0
2014,"An?lisis, estudios y m?tricas",Publicidad Turismo,366,0,Aviso,11/27/2002,0,0
2014,Medios impresos,Informe 2015,33605,125,Campaña,9/16/2002,4.5,88.75
2014,Cine,Informe 2014,361,88,Campaña,11/11/2002,1.408,44.88
2014,Medios impresos,Publicidad Turismo,361,385,Campaña,11/11/2002,28.49,242.55
2014,Medios impresos,Publicidad Turismo,361,690.91,Campaña,9/18/2002,34.5455,642.5463
2014,Cine,Publicidad Turismo,362,267,Campaña,11/11/2002,3.738,160.2
2014,Medios impresos,Publicidad Turismo,361,214,Campaña,11/11/2002,3.852,194.74
2014,Cine,Publicidad Turismo,33605,230,Campaña,11/11/2002,11.27,128.8
2014,Radio,Publicidad Turismo,33605,325,Campaña,11/11/2002,16.9,253.5
2014,Cine,Publicidad Turismo,361,0,Campaña,11/11/2002,0,0
2014,Radio,Publicidad Turismo,33605,430,Campaña,11/11/2002,33.11,318.2
2014,Radio,Informe 2015,33605,200,Campaña,11/11/2002,11.4,100
2014,Medios impresos,Publicidad Turismo,33605,135,Campaña,11/11/2002,10.935,74.25
2014,Cine,Publicidad Turismo,366,1100,Campaña,11/11/2002,22,1100
2014,Radio,Publicidad Turismo,33605,300,Campaña,11/11/2002,24.9,219
2014,Radio,Publicidad Turismo,33605,390,Campaña,11/11/2002,5.07,366.6
2014,Medios impresos,Publicidad Turismo,362,550,Campaña,11/11/2002,14.3,291.5
2014,Radio,Publicidad Turismo,33605,560,Campaña,11/11/2002,16.8,554.4
2014,Medios impresos,Publicidad Turismo,361,400,Campaña,11/11/2002,13.6,372
2014,Medios impresos,Publicidad Turismo,366,1873,Campaña,11/28/2002,69.301,1423.48
2014,Internet,Publicidad Turismo,33605,484,Campaña,11/11/2002,12.1,304.92
2014,Radio,Publicidad Turismo,361,353,Campaña,11/11/2002,25.063,254.16
2014,Radio,Publicidad Turismo,361,352,Campaña,11/11/2002,26.048,200.64
2014,Internet,Publicidad Turismo,33605,407,Campaña,10/3/2002,14.652,236.06
2014,Medios impresos,Publicidad Turismo,366,619,Campaña,11/11/2002,49.52,321.88
2014,Internet,Informe 2014,362,3378,Campaña,11/28/2002,304.02,2905.08
2014,Cine,Publicidad Turismo,33605,126,Campaña,11/11/2002,2.898,124.74
2014,Radio,Publicidad Turismo,33605,0,Campaña,10/10/2002,0,0
2014,Radio,Publicidad Turismo,33605,187,Campaña,11/11/2002,14.586,162.69
2014,Medios impresos,Publicidad Turismo,33605,560,Campaña,11/11/2002,15.68,504
2014,Radio,Publicidad Turismo,33605,315,Campaña,11/11/2002,10.71,296.1
2014,Radio,Publicidad Turismo,33605,410,Campaña,11/11/2002,10.66,282.9
2014,Medios impresos,Publicidad Turismo,361,143,Campaña,11/9/2002,9.152,85.8
2014,Internet,Publicidad Turismo,33605,440,Campaña,11/9/2002,22.44,418
2014,Medios impresos,Publicidad Turismo,361,104,Campaña,10/3/2002,10.4,86.32
2014,Medios impresos,Publicidad Turismo,366,265,Campaña,11/9/2002,3.71,140.45
2014,Medios impresos,Publicidad Turismo,33605,79,Campaña,11/9/2002,5.135,42.66
2014,Cine,Publicidad Turismo,366,600,Campaña,11/9/2002,10.8,444
2014,Radio,Publicidad Turismo,362,440,Campaña,11/9/2002,27.72,259.6
2014,Cine,Publicidad Turismo,361,1000,Campaña,11/9/2002,17,830
2014,Medios impresos,Publicidad Turismo,362,600,Campaña,11/9/2002,19.2,408
2014,Medios impresos,Publicidad Turismo,33605,0,Campaña,11/9/2002,0,0
2014,Radio,Publicidad Turismo,362,212,Campaña,11/9/2002,15.688,175.96
2014,Radio,Publicidad Turismo,362,1350,Campaña,11/9/2002,17.55,985.5
2014,Radio,Publicidad Turismo,362,1200,Campaña,11/9/2002,70.8,996
2014,Radio,Publicidad Turismo,361,176,Campaña,11/9/2002,9.856,98.56
2014,Internet,Publicidad Turismo,361,261,Campaña,11/9/2002,6.786,172.26
2014,Medios impresos,Publicidad Turismo,33605,377,Campaña,11/9/2002,32.422,327.99
2014,Medios impresos,Publicidad Turismo,33605,400,Campaña,11/9/2002,34.8,216
2014,Cine,Publicidad Turismo,366,242,Campaña,11/9/2002,14.762,142.78
2014,Medios impresos,Publicidad Turismo,33605,154,Campaña,11/9/2002,3.542,97.02
2014,Cine,Publicidad Turismo,33605,605,Campaña,11/9/2002,6.655,411.4
2014,Internet,Publicidad Turismo,362,1911,Campaña,11/28/2002,59.241,1547.91
2014,Cine,Informe 2014,366,240,Campaña,11/9/2002,23.52,168
2014,Televisi?n,Informe 2015,366,300,Campaña,11/9/2002,14.1,228
2014,"An?lisis, estudios y m?tricas",Publicidad Turismo,366,0,Aviso,11/27/2002,0,0
2014,Radio,Publicidad Turismo,362,2100,Campaña,9/19/2002,182.7,1176
2014,Radio,Publicidad Turismo,362,1300,Campaña,11/9/2002,92.3,962
2014,"An?lisis, estudios y m?tricas",Publicidad Turismo,366,0,Campaña,12/16/2002,0,0
2014,Internet,Publicidad Turismo,361,351.6,Campaña,11/9/2002,22.5024,326.988
2014,Medios impresos,Publicidad Turismo,366,250,Campaña,9/19/2002,24.75,157.5
2014,Radio,Publicidad Turismo,362,0,Campaña,11/9/2002,0,0
2014,Radio,Publicidad Turismo,362,385,Campaña,11/9/2002,35.035,238.7
2014,Radio,Aviso Licitaciones,361,214,Campaña,11/9/2002,13.482,158.36
2014,Medios impresos,Publicidad Turismo,362,0,Campaña,11/7/2002,0,0
2014,Cine,Publicidad Turismo,33605,301,Campaña,11/9/2002,27.09,285.95
2014,Internet,Publicidad Turismo,362,800,Campaña,11/9/2002,62.4,616
2014,Radio,Publicidad Turismo,33605,0,Campaña,11/9/2002,0,0
2014,Cine,Publicidad Turismo,366,252,Campaña,11/9/2002,2.016,171.36
2014,Cine,Publicidad Turismo,366,65,Campaña,11/9/2002,2.6,56.55
2014,Cine,Publicidad Turismo,33605,330,Campaña,10/3/2002,25.74,247.5
2014,Cine,Publicidad Turismo,33605,385,Campaña,10/3/2002,15.4,331.1
2014,Cine,Publicidad Turismo,366,68,Campaña,11/9/2002,5.44,48.28
2014,Radio,Publicidad Turismo,366,586,Campaña,11/9/2002,29.886,339.88
2014,Cine,Publicidad Turismo,366,227,Campaña,11/9/2002,12.258,133.93
2014,Medios impresos,Informe 2014,362,0,Campaña,9/19/2002,0,0
2014,Radio,Publicidad Turismo,33605,0,Campaña,11/9/2002,0,0
2014,Radio,Publicidad Turismo,33605,442,Campaña,10/3/2002,35.802,335.92
2014,Cine,Publicidad Turismo,366,214,Campaña,11/9/2002,5.136,196.88
2014,Medios impresos,Publicidad Turismo,366,385,Campaña,11/9/2002,35.805,265.65
2014,Cine,Publicidad Turismo,362,0,Campaña,11/9/2002,0,0
2014,Internet,Publicidad Turismo,366,133,Aviso,9/24/2002,6.251,71.82
2014,Cine,Publicidad Turismo,366,253,Campaña,11/9/2002,1.012,220.11
2014,Cine,Publicidad Turismo,362,572,Campaña,10/3/2002,41.756,377.52
2014,Internet,Publicidad Turismo,361,264,Campaña,11/9/2002,11.616,198
2014,Radio,Publicidad Turismo,362,1335,Campaña,11/9/2002,68.085,827.7
2014,Radio,Publicidad Turismo,33605,0,Campaña,11/9/2002,0,0
2014,Medios impresos,Publicidad Turismo,366,220,Campaña,11/9/2002,6.82,178.2
2014,Medios impresos,Publicidad Turismo,366,47,Campaña,11/9/2002,1.034,40.89
2014,Medios impresos,Publicidad Turismo,33605,0,Campaña,11/9/2002,0,0
2014,Cine,Publicidad Turismo,33605,415.35,Campaña,11/9/2002,39.8736,303.2055
2014,Radio,Publicidad Turismo,361,599,Campaña,11/9/2002,12.579,299.5
2014,Medios impresos,Publicidad Turismo,362,737,Campaña,11/9/2002,28.743,663.3
2014,Medios impresos,Publicidad Turismo,366,374,Campaña,10/3/2002,32.164,321.64
2014,Medios impresos,Publicidad Turismo,366,484,Campaña,11/9/2002,41.14,358.16
2014,Cine,Publicidad Turismo,33605,286,Campaña,10/11/2002,9.724,220.22
2014,Cine,Publicidad Turismo,366,54,Campaña,9/19/2002,4.104,43.2
2014,Radio,Publicidad Turismo,33605,0,Campaña,9/19/2002,0,0
2014,Cine,Publicidad Turismo,33605,383,Campaña,9/19/2002,36.768,260.44
2014,Cine,Publicidad Turismo,366,374,Campaña,9/17/2002,31.79,366.52
2014,Cine,Publicidad Turismo,33605,385,Campaña,9/19/2002,0.385,342.65
2014,Cine,Publicidad Turismo,33605,0,Campaña,11/11/2002,0,0
2014,Cine,Publicidad Turismo,361,238,Campaña,9/19/2002,5.95,199.92
2014,Radio,Publicidad Turismo,362,1243.4,Campaña,9/19/2002,101.9588,733.606
2014,Cine,Publicidad Turismo,362,0,Campaña,9/19/2002,0,0
2014,Medios impresos,Publicidad Turismo,33605,291,Campaña,9/19/2002,22.989,270.63
2014,Medios impresos,Publicidad Turismo,33605,231,Campaña,9/19/2002,4.62,145.53
2014,Cine,Publicidad Turismo,362,942,Campaña,9/19/2002,28.26,612.3
2014,Medios impresos,Publicidad Turismo,361,74,Campaña,9/19/2002,4.366,50.32
2014,Cine,Publicidad Turismo,366,1099.84,Campaña,9/19/2002,48.39296,593.9136
2014,"An?lisis, estudios y m?tricas",Publicidad Turismo,366,0,Aviso,9/19/2002,0,0
2014,Cine,Publicidad Turismo,366,330,Campaña,11/11/2002,0,174.9
2014,"An?lisis, estudios y m?tricas",Publicidad Turismo,33605,250,Campaña,9/19/2002,23,145
2014,Medios impresos,Publicidad Turismo,33605,140,Campaña,9/19/2002,3.78,99.4
2014,Medios impresos,Informe 2014,33605,200,Campaña,9/19/2002,14.6,140
2014,Cine,Informe 2014,33605,244,Campaña,9/19/2002,8.784,202.52
2014,Cine,Publicidad Turismo,366,335,Campaña,9/19/2002,26.465,281.4
2014,Medios impresos,Publicidad Turismo,366,0,Campaña,9/19/2002,0,0
2014,Medios impresos,Publicidad Turismo,366,395,Campaña,9/19/2002,26.465,252.8
2014,Radio,Publicidad Turismo,361,978,Campaña,9/19/2002,0.978,694.38
2014,Internet,Publicidad Turismo,362,2623,Campaña,9/19/2002,133.773,1757.41
2014,Medios impresos,Publicidad Turismo,366,121,Campaña,9/19/2002,7.623,105.27
2014,Medios impresos,Informe 2014,366,53,Campaña,9/19/2002,1.166,37.63
2014,Medios impresos,Aviso Licitaciones,361,1067,Campaña,9/19/2002,96.03,608.19
2014,Medios impresos,Publicidad Turismo,366,654,Campaña,9/19/2002,32.046,470.88
2014,Radio,Publicidad Turismo,33605,314,Campaña,9/19/2002,2.198,298.3
2014,Radio,Publicidad Turismo,366,129,Campaña,9/19/2002,3.096,108.36
2014,Medios impresos,Publicidad Turismo,366,59,Campaña,9/19/2002,1.416,30.68
2014,Medios impresos,Publicidad Turismo,366,83,Campaña,9/19/2002,5.727,80.51
2014,Medios impresos,Publicidad Turismo,366,230,Campaña,9/19/2002,4.37,119.6
2014,Radio,Publicidad Turismo,362,1559,Campaña,9/18/2002,12.472,1559
2014,Medios impresos,Publicidad Turismo,33605,200,Campaña,9/19/2002,14.2,170
2014,Medios impresos,Publicidad Turismo,33605,283,Campaña,9/19/2002,26.036,268.85
2014,Radio,Publicidad Turismo,33605,502.5,Campaña,9/19/2002,17.085,422.1
2014,Medios impresos,Publicidad Turismo,361,270,Campaña,9/19/2002,14.04,253.8
2014,Radio,Publicidad Turismo,361,253,Campaña,9/19/2002,3.795,242.88
2014,Medios impresos,Publicidad Turismo,361,285,Campaña,9/19/2002,3.42,216.6
2014,"An?lisis, estudios y m?tricas",Publicidad Turismo,366,0,Aviso,9/19/2002,0,0
2014,Cine,Publicidad Turismo,361,746,Campaña,9/19/2002,34.316,455.06
2014,Cine,Publicidad Turismo,361,393,Campaña,9/19/2002,28.296,373.35
2014,Radio,Publicidad Turismo,33605,278,Campaña,9/17/2002,4.448,169.58
2014,Cine,Publicidad Turismo,361,495,Campaña,9/19/2002,34.155,475.2
2014,Cine,Publicidad Turismo,33605,397,Campaña,9/19/2002,28.584,389.06
2014,Cine,Informe 2014,366,0,Campaña,9/19/2002,0,0
2014,Medios impresos,Publicidad Turismo,361,0,Campaña,9/19/2002,0,0
2014,Radio,Publicidad Turismo,366,500,Campaña,9/19/2002,22.5,340
2014,Medios impresos,Publicidad Turismo,33605,249,Campaña,9/19/2002,10.956,131.97
2014,Medios impresos,Publicidad Turismo,361,0,Campaña,10/1/2002,0,0
2014,Medios impresos,Publicidad Turismo,33605,258,Campaña,9/19/2002,0.258,227.04
2014,Radio,Publicidad Turismo,33605,600,Campaña,9/19/2002,6.6,402
2014,Medios impresos,Publicidad Turismo,33605,157,Campaña,9/25/2002,12.089,111.47
2014,Radio,Publicidad Turismo,361,282,Campaña,9/19/2002,14.664,152.28
2014,Radio,Publicidad Turismo,366,167,Campaña,9/19/2002,12.358,90.18
2014,Medios impresos,Publicidad Turismo,362,785,Campaña,9/19/2002,78.5,730.05
2014,Medios impresos,Aviso Licitaciones,366,0,Campaña,9/19/2002,0,0
2014,Medios impresos,Publicidad Turismo,366,385,Campaña,9/19/2002,8.47,296.45
2014,Medios impresos,Aviso Licitaciones,33605,570,Campaña,9/19/2002,3.42,501.6
2014,Medios impresos,Informe 2014,361,0,Campaña,9/19/2002,0,0
2014,Medios impresos,Publicidad Turismo,361,255,Campaña,9/19/2002,11.985,204
2014,Medios impresos,Publicidad Turismo,361,1655,Campaña,9/19/2002,125.78,1390.2
2014,Radio,Publicidad Turismo,366,108,Campaña,9/19/2002,9.18,105.84
2014,Radio,Publicidad Turismo,366,108,Campaña,9/19/2002,6.048,86.4
2014,Radio,Publicidad Turismo,361,1278,Campaña,9/19/2002,60.066,869.04
2014,Medios impresos,Publicidad Turismo,366,102,Campaña,9/19/2002,7.854,94.86
2014,Medios impresos,Informe 2015,366,480,Campaña,9/19/2002,43.2,302.4
2014,Medios impresos,Publicidad Turismo,33605,324.5,Campaña,9/19/2002,32.1255,201.19
2014,"An?lisis, estudios y m?tricas",Publicidad Turismo,361,230,Campaña,9/19/2002,21.39,204.7
2014,Medios impresos,Publicidad Turismo,33605,274,Campaña,9/19/2002,0.548,243.86
2014,Medios impresos,Publicidad Turismo,362,1027.4,Campaña,9/19/2002,72.9454,708.906
2014,Internet,Publicidad Turismo,366,200,Campaña,9/19/2002,7.6,200
2014,Radio,Publicidad Turismo,366,426,Campaña,9/19/2002,31.524,353.58
2014,Radio,Publicidad Turismo,362,561,Campaña,9/19/2002,49.368,454.41
2014,Medios impresos,Aviso Licitaciones,361,445,Campaña,9/19/2002,3.115,427.2
2014,Radio,Aviso Licitaciones,33605,0,Campaña,9/19/2002,0,0
2014,Radio,Publicidad Turismo,362,1610,Campaña,9/19/2002,154.56,821.1
2014,Medios impresos,Publicidad Turismo,362,1610,Campaña,9/19/2002,4.83,998.2
2014,Medios impresos,Publicidad Turismo,33605,167,Campaña,9/19/2002,15.197,165.33
2014,Cine,Publicidad Turismo,33605,758.36,Campaña,9/19/2002,29.57604,409.5144
2014,Medios impresos,Aviso Licitaciones,33605,95,Campaña,9/19/2002,7.6,59.85
2014,Cine,Publicidad Turismo,361,83,Campaña,9/17/2002,7.719,71.38
2014,Medios impresos,Publicidad Turismo,33605,233.2,Campaña,9/19/2002,11.66,167.904
2014,Medios impresos,Informe 2014,362,353.1,Campaña,9/19/2002,19.7736,300.135
2014,Medios impresos,Publicidad Turismo,366,199.1,Campaña,9/19/2002,8.7604,181.181
2014,Medios impresos,Publicidad Turismo,366,0,Campaña,9/17/2002,0,0
2014,Medios impresos,Publicidad Turismo,361,414,Campaña,9/19/2002,23.184,318.78
2014,Medios impresos,Publicidad Turismo,366,254,Campaña,9/17/2002,21.844,132.08
2014,"An?lisis, estudios y m?tricas",Publicidad Turismo,361,468,Campaña,9/19/2002,21.996,252.72
2014,Radio,Publicidad Turismo,361,500,Campaña,9/19/2002,31,320
2014,Radio,Publicidad Turismo,33605,267.3,Campaña,9/17/2002,13.8996,264.627
2014,Medios impresos,Publicidad Turismo,362,473.87,Campaña,9/19/2002,44.54378,398.0508
2014,Medios impresos,Publicidad Turismo,366,257.4,Campaña,9/19/2002,9.7812,254.826
2014,Medios impresos,Publicidad Turismo,366,264,Campaña,9/17/2002,9.504,256.08
2014,Radio,Publicidad Turismo,366,361.9,Campaña,9/19/2002,18.095,227.997
2014,Medios impresos,Publicidad Turismo,361,251.9,Campaña,9/13/2002,21.4115,166.254
2014,Cine,Publicidad Turismo,361,289.3,Campaña,9/19/2002,3.7609,260.37
2014,Cine,Publicidad Turismo,362,814,Campaña,9/19/2002,31.746,618.64
2014,Medios impresos,Aviso Licitaciones,366,205,Campaña,9/17/2002,17.22,161.95
2014,Radio,Publicidad Turismo,33605,480.7,Campaña,9/19/2002,2.4035,374.946
2014,Medios impresos,Publicidad Turismo,33605,400,Campaña,9/19/2002,16.4,260
2014,Radio,Publicidad Turismo,33605,799.7,Campaña,9/19/2002,43.1838,783.706
2014,Medios impresos,Publicidad Turismo,366,132,Campaña,9/17/2002,5.676,102.96
2014,Radio,Publicidad Turismo,33605,506,Campaña,9/19/2002,7.59,500.94
2014,Medios impresos,Publicidad Turismo,361,0,Campaña,9/19/2002,0,0
2014,Radio,Publicidad Turismo,362,137,Campaña,9/13/2002,6.85,101.38
2014,Medios impresos,Informe 2014,366,320,Campaña,9/17/2002,19.52,252.8
2014,Medios impresos,Informe 2014,366,454.3,Campaña,9/17/2002,16.8091,363.44
2014,Radio,Publicidad Turismo,361,0,Campaña,9/17/2002,0,0
2014,Cine,Publicidad Turismo,361,364.1,Campaña,9/17/2002,18.9332,283.998
2014,Cine,Publicidad Turismo,361,137.5,Campaña,9/17/2002,10.5875,116.875
2014,Internet,Publicidad Turismo,33605,2110,Campaña,9/17/2002,71.74,2110
2014,Cine,Publicidad Turismo,361,592.5,Campaña,11/29/2002,26.07,379.2
2014,Radio,Publicidad Turismo,361,289.3,Campaña,11/29/2002,7.8111,164.901
2014,"An?lisis, estudios y m?tricas",Publicidad Turismo,366,0,Campaña,9/25/2002,0,0
2014,Medios impresos,Publicidad Turismo,33605,633,Campaña,11/29/2002,56.337,341.82
2014,Radio,Publicidad Turismo,33605,734,Campaña,11/29/2002,37.434,616.56
2014,Radio,Publicidad Turismo,33605,517,Campaña,11/29/2002,23.265,315.37
2014,Medios impresos,Publicidad Turismo,33605,420,Campaña,11/29/2002,31.5,239.4
2014,Medios impresos,Publicidad Turismo,361,472,Campaña,11/29/2002,46.256,420.08
2014,Cine,Aviso Licitaciones,362,0,Campaña,11/2/2002,0,0
2014,Cine,Publicidad Turismo,366,278.8,Campaña,11/28/2002,7.2488,156.128
2014,"An?lisis, estudios y m?tricas",Publicidad Turismo,362,321.2,Campaña,9/19/2002,29.5504,231.264
2014,Radio,Publicidad Turismo,33605,508.2,Campaña,9/17/2002,22.869,376.068
2014,Radio,Publicidad Turismo,33605,367.4,Campaña,9/17/2002,23.1462,191.048
2014,Medios impresos,Publicidad Turismo,33605,403.7,Campaña,9/20/2002,16.9554,347.182
2014,Radio,Publicidad Turismo,33605,539,Campaña,9/20/2002,15.631,490.49
2014,Cine,Publicidad Turismo,33605,429,Campaña,9/20/2002,32.604,394.68
