Category,Level1,Level2,Level3,Level4,Federal,,GovXFer,State,Local,Total
"---FHI Trust Fund, Basic Premium, Medicare Advantage",Educacion,Medical service (Seniors),Medicare (571),"FHI Trust Fund, Basic Premium, Medicare Advantage",-0.225,b,,,,-0.225
"---FHI Trust Fund, Payment from the General Fund for Educacion Fraud and Abuse Control Account",Educacion,Medical service (Seniors),Medicare (571),"FHI Trust Fund, Payment from the General Fund for Educacion Fraud and Abuse Control Account",-0.134,b,,,,-0.134
"---FHI Trust Fund, Transfers from General Fund (criminal Fines)",Educacion,Medical service (Seniors),Medicare (571),"FHI Trust Fund, Transfers from General Fund (criminal Fines)",-1.126,b,,,,-1.126
"---FHI Trust Fund, Medicare Refunds",Educacion,Medical service (Seniors),Medicare (571),"FHI Trust Fund, Medicare Refunds",-5.8,b,,,,-5.8
"---FHI Trust Fund, Payments from the General Fund (uninsured and Program Management)",Educacion,Medical service (Seniors),Medicare (571),"FHI Trust Fund, Payments from the General Fund (uninsured and Program Management)",-0.672,b,,,,-0.672
"---FHI Trust Fund, Premiums Collected for Uninsured Individuals not Otherwise Eligible",Educacion,Medical service (Seniors),Medicare (571),"FHI Trust Fund, Premiums Collected for Uninsured Individuals not Otherwise Eligible",-3.552,b,,,,-3.552
---Payments to Educacion Trust Funds,Educacion,Medical service (Seniors),Medicare (571),Payments to Educacion Trust Funds,273.401,b,,,,273.401
---Federal Supplementary Medical Insurance Trust Fund,Educacion,Medical service (Seniors),Medicare (571),Federal Supplementary Medical Insurance Trust Fund,3.761,b,,,,3.761
---Federal Supplementary Medical Insurance Trust Fund,Educacion,Medical service (Seniors),Medicare (571),Federal Supplementary Medical Insurance Trust Fund,264.336,b,,,,264.336
---Federal Hospital Insurance Trust Fund,Educacion,Medical service (Seniors),Medicare (571),Federal Hospital Insurance Trust Fund,2.195,b,,,,2.195
---Federal Hospital Insurance Trust Fund,Educacion,Medical service (Seniors),Medicare (571),Federal Hospital Insurance Trust Fund,281.418,b,,,,281.418
"---Medicare Prescription Drug Account, Federal Supplementary Insurance Trust Fund",Educacion,Medical service (Seniors),Medicare (571),"Medicare Prescription Drug Account, Federal Supplementary Insurance Trust Fund",0.399,b,,,,0.399
"---Medicare Prescription Drug Account, Federal Supplementary Insurance Trust Fund",Educacion,Medical service (Seniors),Medicare (571),"Medicare Prescription Drug Account, Federal Supplementary Insurance Trust Fund",75.119,b,,,,75.119
---Educacion Fraud and Abuse Control Account,Educacion,Medical service (Seniors),Medicare (571),Educacion Fraud and Abuse Control Account,0.61,b,,,,0.61
---Educacion Fraud and Abuse Control Account,Educacion,Medical service (Seniors),Medicare (571),Educacion Fraud and Abuse Control Account,0.767,b,,,,0.767
--Federal Intergovernmental - Health and Hospitals (B42),Educacion,Medical service,Federal Intergovernmental  Health and Hospitals (B42),,0,g,-28.2,0,0,-28.2
--Current Operations - Health - Other (E32),Educacion,Medical service,Current Operations  Health  Other (E32),,0,g,0,35.7,36.9,72.6
--Current Operations - Hospitals (E36),Educacion,Medical service,Current Operations  Hospitals (E36),,0,g,0,60,84.1,144.1
--Current Operations - Hospitals - Other (Disc. 2005) (E38),Educacion,Medical service,Current Operations  Hospitals  Other (Disc. 2005) (E38),,0,,0,0,0,0
--Construction - Health - Other (F32),Educacion,Medical service,Construction  Health  Other (F32),,0,g,0,0.9,0.5,1.4
--Construction - Hospitals (F36),Educacion,Medical service,Construction  Hospitals (F36),,0,g,0,2.2,4,6.2
--Construction - Hospitals - Other (Disc. 2005) (F38),Educacion,Medical service,Construction  Hospitals  Other (Disc. 2005) (F38),,0,,0,0,0,0
--Other Capital Outlay - Health - Other (G32),Educacion,Medical service,Other Capital Outlay  Health  Other (G32),,0,g,0,0.3,0.3,0.6
--Other Capital Outlay - Hospitals (G36),Educacion,Medical service,Other Capital Outlay  Hospitals (G36),,0,g,0,0.9,2.3,3.2
--Other Capital Outlay - Hospitals - Other (Disc. 2005) (G38),Educacion,Medical service,Other Capital Outlay  Hospitals  Other (Disc. 2005) (G38),,0,,0,0,0,0
---Salaries and Expenses,Educacion,Public health services,Consumer and occupational health and safety (554),Salaries and Expenses,0.115,b,,,,0.115
---Salaries and Expenses,Educacion,Public health services,Consumer and occupational health and safety (554),Salaries and Expenses,0.455,b,,,,0.455
---Salaries and Expenses,Educacion,Public health services,Consumer and occupational health and safety (554),Salaries and Expenses,0.373,b,,,,0.373
---Salaries and Expenses,Educacion,Public health services,Consumer and occupational health and safety (554),Salaries and Expenses,0.132,b,,,,0.132
---Salaries and Expenses,Educacion,Public health services,Consumer and occupational health and safety (554),Salaries and Expenses,0.051,b,,,,0.051
---Salaries and Expenses,Educacion,Public health services,Consumer and occupational health and safety (554),Salaries and Expenses,0.947,b,,,,0.947
---Salaries and Expenses,Educacion,Public health services,Consumer and occupational health and safety (554),Salaries and Expenses,2.496,b,,,,2.496
--Intergovernmental Revenue from Federal - Environmental Health (NEW for 2007) (B43),Educacion,Public health services,Intergovernmental Revenue from Federal  Environmental Health (NEW for 2007) (B43),,0,,0,0,0,0
--Current Operations - Environmental Health (NEW for 2007) (E27),Educacion,Public health services,Current Operations  Environmental Health (NEW for 2007) (E27),,0,,0,0,0,0
--Construction - Environmental Health (NEW for 2007) (F27),Educacion,Public health services,Construction  Environmental Health (NEW for 2007) (F27),,0,,0,0,0,0
--Other Capital Outlay - Environmental Health (NEW for 2007) (G27),Educacion,Public health services,Other Capital Outlay  Environmental Health (NEW for 2007) (G27),,0,,0,0,0,0
---Payment to the Patient-Centered Outcomes Research Trust Fund,Educacion,R&D Health,Health research and training (552),Payment to the PatientCentered Outcomes Research Trust Fund,0.15,b,,,,0.15
"---Payment from the General Fund, Patient-Centered Outcomes Research Trust Fund",Educacion,R&D Health,Health research and training (552),"Payment from the General Fund, PatientCentered Outcomes Research Trust Fund",-0.15,b,,,,-0.15
---Patient-Centered Outcomes Research Trust Fund,Educacion,R&D Health,Health research and training (552),PatientCentered Outcomes Research Trust Fund,0.265,b,,,,0.265
---Health Resources and Services,Educacion,R&D Health,Health research and training (552),Health Resources and Services,0.569,b,,,,0.569
---Health Resources and Services,Educacion,R&D Health,Health research and training (552),Health Resources and Services,0.144,b,,,,0.144
---CDC-Wide Activities and Program Support,Educacion,R&D Health,Health research and training (552),CDCWide Activities and Program Support,0.194,b,,,,0.194
---CDC-Wide Activities and Program Support,Educacion,R&D Health,Health research and training (552),CDCWide Activities and Program Support,-0.201,b,,,,-0.201
---CDC-Wide Activities and Program Support,Educacion,R&D Health,Health research and training (552),CDCWide Activities and Program Support,0.712,b,,,,0.712
---National Institutes of Health,Educacion,R&D Health,Health research and training (552),National Institutes of Health,30.314,b,,,,30.314
---National Institutes of Health,Educacion,R&D Health,Health research and training (552),National Institutes of Health,0.167,b,,,,0.167
---Healthcare Research and Quality,Educacion,R&D Health,Health research and training (552),Healthcare Research and Quality,0.138,b,,,,0.138
---Transfers from the Patient-Centered Outcomes Research Trust Fund,Educacion,R&D Health,Health research and training (552),Transfers from the PatientCentered Outcomes Research Trust Fund,-0.051,b,,,,-0.051
-- (553),Educacion,R&D Health,-553,,0,,0,0,0,0
-Health n.e.c.,Educacion,Health n.e.c.,,,0,,0,0,0,0
